Adobe After Effects 6.0 Keyframe Data

	Units Per Second	24
	Source Width	1920
	Source Height	1080
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Effects	ADBE Corner Pin #1	ADBE Corner Pin-0001
	Frame	X pixels	Y pixels
	0	895.991	573.582
	1	898.39	573.869
	2	900.639	574.143
	3	902.761	574.212
	4	904.954	574.092
	5	907.179	574.152
	6	909.552	574.432
	7	912.04	574.95
	8	914.194	575.207
	9	916.452	575.594
	10	919.218	576.284
	11	922.126	577.05
	12	924.938	577.562
	13	927.567	577.979
	14	930.509	578.614
	15	933.635	579.51
	16	936.845	580.666
	17	939.976	581.743
	18	943.054	583.109
	19	946.118	584.827
	20	948.835	586.618
	21	950.956	588.376
	22	952.394	590.086
	23	953.312	591.991
	24	953.719	593.636
	25	953.695	594.859
	26	953.068	595.668
	27	951.804	596.321
	28	950.273	597.175
	29	948.259	597.82
	30	945.686	598.179
	31	943.073	598.334
	32	940.187	598.505
	33	937.244	598.313
	34	934.05	598.09
	35	930.49	598.079
	36	926.646	598.317
	37	922.628	598.753
	38	918.372	599.16
	39	913.588	599.36
	40	908.539	599.518
	41	903.511	599.67
	42	898.245	599.668
	43	892.513	599.48
	44	886.476	599.29
	45	880.126	599.167
	46	873.698	599.201
	47	867.187	599.058
	48	860.491	599.046
	49	853.985	599.172
	50	847.651	599.586
	51	841.614	600.064
	52	835.774	600.443
	53	830.321	600.662
	54	825.337	600.87
	55	820.636	600.933
	56	816.187	600.703
	57	811.911	600.283
	58	807.946	600.002
	59	804.369	599.793
	60	801.094	599.613
	61	798.053	599.262
	62	795.263	599.007
	63	792.605	598.857
	64	790.129	598.752
	65	787.766	598.463
	66	785.469	598.132
	67	783.481	597.743
	68	781.621	597.342
	69	779.982	597.045
	70	778.557	596.705
	71	777.095	596.363
	72	775.809	596.384
	73	774.536	596.585
	74	773.115	596.858
	75	771.424	596.952
	76	769.455	596.99
	77	767.525	597.08
	78	765.438	597.234
	79	763.194	597.385
	80	760.541	597.792
	81	757.645	598.306
	82	754.697	598.728
	83	751.645	598.988
	84	748.656	599.114
	85	745.932	599.246
	86	743.281	599.278
	87	740.716	599.194
	88	738.424	599.054
	89	736.167	598.966
	90	734.006	598.944
	91	732	599
	92	729.927	599.069
	93	727.751	599.17
	94	725.501	599.332
	95	723.19	599.485
	96	720.669	599.675
	97	717.941	599.926
	98	714.965	600.437
	99	711.947	601.223
	100	708.668	602.075
	101	705.19	602.795
	102	701.53	603.533
	103	697.661	604.321
	104	693.817	605.17
	105	689.871	605.94
	106	685.932	606.622
	107	681.879	607.384
	108	677.864	608.211
	109	673.958	609.104
	110	670.04	610.383
	111	665.91	611.912
	112	661.65	613.934
	113	657.291	616.248
	114	652.716	618.58
	115	647.888	621.103
	116	643.059	623.746
	117	638.324	626.445
	118	633.691	628.86
	119	629.387	630.943
	120	625.028	632.778
	121	620.861	634.526
	122	616.928	636.185
	123	613.305	637.824
	124	609.942	639.349
	125	606.705	640.853
	126	603.644	642
	127	601.025	642.875
	128	598.772	643.35
	129	596.954	643.807
	130	595.687	644.26
	131	594.894	644.453
	132	594.553	644.547
	133	594.344	644.67
	134	594.165	644.692
	135	594.267	644.433
	136	594.708	643.856
	137	595.543	643.178
	138	596.872	642.631
	139	598.662	642.023
	140	600.605	641.523
	141	603.449	641.097
	142	607.083	640.412
	143	611.313	639.482
